skip,take,totalCount,records
0,100,4522,"{'event': {'startDate': '2023-01-14T08:30:00+01:00', 'endDate': '2023-01-14T12:00:00+01:00'}, 'location': {'decimalLatitude': 63.86925, 'decimalLongitude': 20.32898}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-01-26T11:04:00+01:00', 'endDate': '2023-01-26T11:04:00+01:00'}, 'location': {'decimalLatitude': 59.82127, 'decimalLongitude': 17.56171}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-02T09:28:00+01:00', 'endDate': '2023-02-02T14:48:00+01:00'}, 'location': {'decimalLatitude': 57.70669, 'decimalLongitude': 15.40727}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-01-08T00:00:00+01:00', 'endDate': '2023-01-08T23:59:59+01:00'}, 'location': {'decimalLatitude': 63.20636, 'decimalLongitude': 14.70613}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-01-10T08:25:00+01:00', 'endDate': '2023-01-10T11:29:00+01:00'}, 'location': {'decimalLatitude': 57.65204, 'decimalLongitude': 12.22548}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-01-14T11:20:00+01:00', 'endDate': '2023-01-14T11:20:00+01:00'}, 'location': {'decimalLatitude': 65.80437, 'decimalLongitude': 23.9157}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-01-26T09:30:00+01:00', 'endDate': '2023-01-26T09:30:00+01:00'}, 'location': {'decimalLatitude': 65.81301, 'decimalLongitude': 21.60059}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-07T00:00:00+01:00', 'endDate': '2023-02-07T23:59:59+01:00'}, 'location': {'decimalLatitude': 62.80511, 'decimalLongitude': 13.06459}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-25T12:13:00+01:00', 'endDate': '2023-02-25T12:25:00+01:00'}, 'location': {'decimalLatitude': 65.79392, 'decimalLongitude': 21.64739}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-10T12:30:00+01:00', 'endDate': '2023-02-10T16:00:00+01:00'}, 'location': {'decimalLatitude': 63.86925, 'decimalLongitude': 20.32898}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-11T09:00:00+01:00', 'endDate': '2023-02-11T09:45:00+01:00'}, 'location': {'decimalLatitude': 58.27739, 'decimalLongitude': 12.00209}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-13T00:00:00+01:00', 'endDate': '2023-02-13T23:59:59+01:00'}, 'location': {'decimalLatitude': 55.64455, 'decimalLongitude': 14.12083}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-03-01T00:00:00+01:00', 'endDate': '2023-03-01T23:59:59+01:00'}, 'location': {'decimalLatitude': 56.11815, 'decimalLongitude': 14.25541}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-14T09:20:00+01:00', 'endDate': '2023-02-14T09:20:00+01:00'}, 'location': {'decimalLatitude': 58.16408, 'decimalLongitude': 15.87819}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-17T00:00:00+01:00', 'endDate': '2023-02-17T23:59:59+01:00'}, 'location': {'decimalLatitude': 62.80511, 'decimalLongitude': 13.06459}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-19T09:00:00+01:00', 'endDate': '2023-02-19T09:00:00+01:00'}, 'location': {'decimalLatitude': 60.53405, 'decimalLongitude': 15.02791}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-14T10:15:00+01:00', 'endDate': '2023-02-14T11:15:00+01:00'}, 'location': {'decimalLatitude': 65.36796, 'decimalLongitude': 21.4803}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-03-01T13:00:00+01:00', 'endDate': '2023-03-01T15:00:00+01:00'}, 'location': {'decimalLatitude': 57.79267, 'decimalLongitude': 12.25074}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-11T00:00:00+01:00', 'endDate': '2023-02-11T23:59:59+01:00'}, 'location': {'decimalLatitude': 58.20152, 'decimalLongitude': 13.48484}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-10T09:45:00+01:00', 'endDate': '2023-02-10T13:35:00+01:00'}, 'location': {'decimalLatitude': 57.33707, 'decimalLongitude': 13.99847}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-12T00:00:00+01:00', 'endDate': '2023-02-12T23:59:59+01:00'}, 'location': {'decimalLatitude': 65.8531, 'decimalLongitude': 24.10713}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-02-12T00:00:00+01:00', 'endDate': '2023-02-12T23:59:59+01:00'}, 'location': {'decimalLatitude': 55.64455, 'decimalLongitude': 14.12083}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-03-02T00:00:00+01:00', 'endDate': '2023-03-02T23:59:59+01:00'}, 'location': {'decimalLatitude': 58.20152, 'decimalLongitude': 13.48484}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-27T20:00:00+02:00', 'endDate': '2023-06-27T20:00:00+02:00'}, 'location': {'decimalLatitude': 60.46342, 'decimalLongitude': 15.44451}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-06T06:04:00+02:00', 'endDate': '2023-06-06T06:04:00+02:00'}, 'location': {'decimalLatitude': 67.13015, 'decimalLongitude': 23.05879}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-01T08:10:00+02:00', 'endDate': '2023-07-01T08:20:00+02:00'}, 'location': {'decimalLatitude': 60.66982, 'decimalLongitude': 17.12712}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
